"(Intercept)";"pop";"scale(log(FGM1), scale = F)";"scale(mass1, scale = F)";"scale(quali_coh, scale = F)";"sex";"pop:scale(log(FGM1), scale = F)";"pop:scale(quali_coh, scale = F)";"pop:sex";"scale(log(FGM1), scale = F):scale(mass1, scale = F)";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"scale(log(FGM1), scale = F):sex";"scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"pop:scale(log(FGM1), scale = F):sex";"pop:scale(quali_coh, scale = F):sex";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"df";"logLik";"AICc";"delta";"weight"
-0.154428921319801;"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-190.413148522947;391.471458336216;5.36687741865376;0.00525234191739909
-0.360464949875182;NA;-0.0788325615920178;-0.18017509786061;0.234434774572923;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-189.279442902895;391.47192928405;5.36734836648759;0.00525110527347923
-0.401172533326516;NA;NA;-0.175601078216914;0.230129766392335;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-189.28617632939;391.48539613704;5.38081521947765;0.00521586611538531
0.375812722669345;"+";-0.172693704515384;-0.175288606646166;-0.117813102532319;"+";NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-184.595784611673;391.691569223346;5.586988305783;0.00470496631251951
0.455607372880365;"+";NA;NA;-0.405003414410599;"+";NA;NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;7;-188.247456564167;391.725682359103;5.62110144154059;0.00462539626031791
0.716118730420988;"+";-0.0779814931208934;-0.165697788286949;-0.375604679029788;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-185.8646106909;391.751693291913;5.64711237434994;0.00456563030909088
0.437457571755193;"+";-0.099964842593228;-0.167211893885511;-0.310387098483462;NA;NA;NA;NA;0.0393633020994758;NA;NA;NA;NA;NA;NA;NA;NA;8;-187.086525838581;391.773051677163;5.66847075960021;0.00451713248328774
0.381591158027311;"+";-0.114313121486899;-0.170300089354266;-0.279437845374127;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-187.130891695184;391.861783390368;5.75720247280486;0.00432110661170141
0.441705133504685;"+";-0.0534681203317234;NA;-0.46156490244421;NA;NA;NA;NA;NA;-0.16610569983693;NA;NA;NA;NA;NA;NA;NA;7;-188.321867744461;391.874504719691;5.7699238021288;0.0042937087283221
0.58397199024653;"+";-0.640522341197625;-0.166648957173532;-0.399000993239216;NA;"+";NA;NA;0.21180400856068;NA;NA;NA;NA;NA;NA;NA;NA;9;-185.971078464187;391.964628838487;5.86004792092444;0.004104520000057
0.0159314541618787;"+";-0.206248747140186;-0.180159980700343;0.105054886385125;"+";NA;"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;10;-184.744093994231;391.988187988462;5.88360707089913;0.00405645415235164
0.0662560896960886;"+";-0.387379080340697;-0.20591032482751;NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-187.195982929995;391.99196585999;5.88738494242722;0.00404879900334661
0.165216954953459;"+";0.548037196396936;NA;-0.226224904497315;NA;"+";"+";NA;NA;-0.650895324245485;NA;NA;"+";NA;NA;NA;NA;10;-184.761424239483;392.022848478965;5.91826756140244;0.00398676045575974
0.362492349129263;"+";-0.593564928538378;-0.170571146959865;-0.176826978628771;NA;"+";"+";NA;0.197364310087183;NA;NA;NA;NA;NA;NA;NA;NA;10;-184.763366669017;392.026733338034;5.92215242047092;0.00397902397072555
0.528971093455202;"+";NA;-0.159080598678253;-0.232080071708877;"+";NA;"+";"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;10;-184.764545259331;392.029090518662;5.9245096010992;0.00397433709411015
0.244847013535236;"+";-0.0999658405463367;NA;-0.265704191891174;NA;NA;"+";NA;NA;-0.109429611050243;NA;NA;NA;NA;NA;NA;NA;8;-187.22455891185;392.0491178237;5.94453690613761;0.00393473805983327
1.24442323755727;"+";NA;NA;-0.867220135831445;"+";NA;NA;"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;8;-187.278796860856;392.157593721712;6.05301280414915;0.00372701022466367
0.0196115762321842;"+";NA;NA;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-189.656767307378;392.226578093016;6.1219971754536;0.00360064925655547
0.260464731467787;"+";-0.162634524587477;NA;-0.278550370927408;NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-187.378702977446;392.357405954891;6.25282503732865;0.00337265493016175
0.481951365413267;"+";-0.188874558974641;NA;-0.496579505948446;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-188.580301667032;392.391372564834;6.28679164727123;0.00331585975295298
-0.426433454105805;NA;NA;-0.176126978336229;0.330750360721261;"+";NA;NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;7;-188.59989241306;392.430554056888;6.32597313932581;0.0032515317607458
0.183310261093111;"+";-0.0627691435280971;NA;-0.253281785836178;"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-187.417879788951;392.435759577903;6.33117866034002;0.00324307980626938
0.0528224814556555;"+";-0.258138850191085;-0.200669196247914;NA;"+";NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;8;-187.486437563382;392.572875126765;6.46829420920187;0.0030281917565787
