"(Intercept)";"pop";"scale(log(FGM1), scale = F)";"scale(mass1, scale = F)";"scale(quali_coh, scale = F)";"sex";"pop:scale(log(FGM1), scale = F)";"pop:scale(quali_coh, scale = F)";"pop:sex";"scale(log(FGM1), scale = F):scale(mass1, scale = F)";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"scale(log(FGM1), scale = F):sex";"scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"pop:scale(log(FGM1), scale = F):sex";"pop:scale(quali_coh, scale = F):sex";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"df";"logLik";"AICc";"delta";"weight"
0.0609879776464092;"+";0.0289604121992586;NA;-0.196793155724487;NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-121.659457662748;261.604629611209;12.0795616443779;0.000318483925120563
-0.000221756251930152;"+";-0.0616416149150215;-0.195265399476547;NA;"+";"+";NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;10;-119.006910956585;261.620379290219;12.0953113233873;0.000315985764542105
-0.387665624879138;NA;-0.0750920696482859;-0.222106251796685;0.178162214320444;"+";NA;NA;NA;NA;-0.33770420431286;"+";"+";NA;NA;NA;"+";NA;11;-117.621231066738;261.642462133477;12.1173941666452;0.000312516023176203
-0.112736838878581;"+";0.0257042669396962;-0.196033027435317;-0.014086414259759;"+";NA;NA;NA;-0.0800176267416089;0.0620205844655337;NA;NA;NA;NA;NA;NA;NA;10;-119.018484812111;261.643527001272;12.1184590344408;0.000312349673340933
0.0898576978369045;"+";0.160982499410423;NA;-0.191419379612792;"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-121.685778452511;261.657271190736;12.1322032239048;0.000310210535394042
-0.15331185803777;"+";-0.800163710587295;-0.224268340444805;0.0550717417919303;"+";"+";NA;NA;-0.0733266981658692;0.556582525165429;NA;NA;NA;NA;NA;NA;NA;11;-117.632553312046;261.665106624092;12.1400386572603;0.000308997595933896
0.0493200044229876;"+";0.192858151068041;NA;-0.199236220269413;NA;NA;"+";NA;NA;0.045535077670216;NA;NA;NA;NA;NA;NA;NA;8;-121.692476159385;261.670666604485;12.1455986376535;0.000308139778560834
-0.18261398278277;"+";-0.0167188681843791;-0.197374430056427;0.0311208278164658;"+";NA;"+";NA;-0.0799927559814287;NA;NA;NA;NA;NA;NA;NA;NA;10;-119.047497219902;261.701551816854;12.1764838500223;0.000303417850585589
0.676988691256366;"+";NA;-0.205724109068491;-0.421855682495777;"+";NA;"+";"+";NA;NA;NA;"+";NA;NA;"+";NA;NA;11;-117.655751797471;261.711503594942;12.1864356281104;0.000301911827037485
-0.0870742909625239;"+";-0.107995703093393;-0.198733382915567;-0.0311732522426203;"+";NA;NA;NA;-0.109397510593616;NA;"+";NA;NA;NA;NA;NA;NA;10;-119.057902053425;261.722361483898;12.1972935170671;0.000300277205640377
0.171220599085325;"+";NA;NA;-0.174647300970043;"+";NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-121.730321470337;261.746357226389;12.2212892595572;0.000296696044502989
-0.0807492239502451;"+";-0.0151003345888608;-0.195181597476888;-0.0205972918229919;"+";NA;NA;NA;-0.0780223370097476;NA;NA;"+";NA;NA;NA;NA;NA;10;-119.075875305569;261.758307988187;12.2332400213554;0.000294928458883814
0.143642810426974;"+";-0.167068770529247;-0.195597044014363;-0.0825784168613823;"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-119.102907593709;261.812372564467;12.2873045976353;0.000287062662030978
-0.0875582401048785;"+";0.0481562723834877;NA;NA;"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-121.76642054082;261.818555367355;12.2934874005237;0.0002861766063855
-0.159126086671156;NA;0.215407584848797;NA;-0.0344879235685208;"+";NA;NA;NA;NA;0.0702293289058544;NA;"+";NA;NA;NA;NA;NA;8;-121.769622130955;261.824958547625;12.2998905807933;0.000285261851302467
0.0439613896403838;"+";-0.779643233523627;-0.222371683498821;0.0149609190383723;"+";"+";NA;"+";NA;0.568786797885692;NA;NA;NA;NA;NA;NA;NA;11;-117.724687885514;261.849375771028;12.3243078041968;0.000281800373042984
0.0603207839098959;"+";0.114594405219729;-0.188991672845848;-0.0463776981669192;"+";NA;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;10;-119.126201439589;261.858960256227;12.3338922893956;0.000280453147983739
