"(Intercept)";"pop";"scale(log(mean_fgm), scale = F)";"scale(mass1, scale = F)";"scale(quali_coh, scale = F)";"sex";"pop:scale(log(mean_fgm), scale = F)";"pop:scale(quali_coh, scale = F)";"pop:sex";"scale(log(mean_fgm), scale = F):scale(mass1, scale = F)";"scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F)";"scale(log(mean_fgm), scale = F):sex";"scale(quali_coh, scale = F):sex";"pop:scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F)";"pop:scale(log(mean_fgm), scale = F):sex";"pop:scale(quali_coh, scale = F):sex";"scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F):sex";"pop:scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F):sex";"df";"logLik";"AICc";"delta";"weight"
0.00315717142381653;"+";NA;NA;-0.137838540221881;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-92.8423301728282;199.551327012323;6.70850255939763;0.0029403040778493
0.174113065612977;"+";NA;NA;-0.241199667730868;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-92.8950156154101;199.656697897487;6.8138734445613;0.00278940290744309
0.135970806393752;"+";NA;-0.272936556566889;-0.0782323812187771;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-90.1572165564664;199.663270322235;6.82044586930962;0.00278025138225554
-0.0983167002304198;"+";NA;NA;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-92.9026187019733;199.671904070613;6.82907961768774;0.00276827525513972
0.105121912599139;"+";-1.34914810905778;-0.333614167016594;NA;"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-88.7164530277166;199.718620341147;6.87579588822189;0.00270436285044157
-0.183216396517681;"+";NA;-0.279063241806368;0.043550746027191;"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-90.1998040135857;199.748445236474;6.90562078354827;0.0026643333913921
0.0505693923469995;"+";NA;-0.27735677025271;-0.0452909515007819;"+";NA;NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;8;-90.2023718379568;199.753580885216;6.91075643229041;0.00265750062760017
0.180463449973207;"+";-1.1738283242375;-0.209367901210997;NA;NA;"+";NA;NA;0.0287371972189462;NA;NA;NA;NA;NA;NA;NA;NA;8;-90.2651578328233;199.879152874949;7.03632842202344;0.00249577692253644
0.027175802711613;"+";-1.39282252044748;-0.336659630535358;NA;"+";"+";NA;NA;0.0155632930815747;NA;NA;NA;NA;NA;NA;NA;NA;9;-88.7974415060773;199.880597297869;7.03777284494328;0.00249397509457031
0.000662241884444439;"+";-1.37325861165342;-0.339082387985271;0.0136917023469021;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-88.8016251250987;199.888964535912;7.04614008298606;0.00248356304813011
0.0233976823848307;"+";-1.35487381413963;-0.33806352184363;NA;"+";"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;9;-88.8016444124972;199.889003110709;7.04617865778306;0.00248351514712184
0.212417259406508;"+";-1.12452766142754;-0.209269913253811;-0.021827887660063;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-90.2793741044713;199.907585418245;7.06476096531938;0.0024605472901755
0.263707882597818;"+";-3.25350136483554;-0.426084026060285;NA;"+";"+";NA;"+";NA;NA;"+";NA;NA;"+";NA;NA;NA;11;-85.6613838769234;199.922767753847;7.07994330092134;0.00244193957929833
