"(Intercept)";"pop";"scale(log(FGMngg), scale = F)";"scale(rel_cohort_quality, scale = F)";"sexe";"pop:scale(log(FGMngg), scale = F)";"pop:scale(rel_cohort_quality, scale = F)";"pop:sexe";"scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F)";"scale(log(FGMngg), scale = F):sexe";"scale(rel_cohort_quality, scale = F):sexe";"pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F)";"pop:scale(log(FGMngg), scale = F):sexe";"pop:scale(rel_cohort_quality, scale = F):sexe";"scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe";"pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe";"df";"logLik";"AICc";"delta";"weight"
-0.236825571636497;"+";-0.222770750573784;0.273926858048098;"+";NA;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;10;-1275.32817262129;2570.99796014942;6.00928132583385;0.00349876352430237
-0.197542413132535;"+";-0.22953150089905;0.099638216003857;"+";"+";"+";NA;0.0985298411901819;NA;NA;NA;NA;NA;NA;NA;11;-1274.30189239888;2571.01436022545;6.02568140185986;0.00347019083906073
-0.198505107285374;"+";-0.221979022093979;0.102538980571785;"+";NA;"+";NA;0.0960196581534331;NA;"+";NA;NA;NA;NA;NA;11;-1274.3049175896;2571.02041060687;6.03173178328734;0.00345970871316862
-0.243661371127698;"+";-0.173186651869942;0.125044428755829;"+";NA;"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;11;-1274.32096562759;2571.05250668287;6.06382785928326;0.00340463030851032
-0.181848548135829;"+";NA;0.269414800239589;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-1278.45228262517;2571.0776718964;6.08899307281581;0.00336205957123278
-0.023927923265607;NA;NA;0.280528511252874;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-1279.50580074758;2571.14123112479;6.15255230120601;0.00325689451831348
-0.196571901171267;"+";-0.20635747277177;0.27992598511351;"+";"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;10;-1275.41123980884;2571.16409452451;6.1754157009259;0.00321987468069764
-0.208000903400329;"+";-0.158995813934885;0.125749469503593;"+";"+";"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;11;-1274.38719634724;2571.18496812216;6.19628929857208;0.00318644425319797
-0.206504253985528;"+";-0.173722777593975;0.133079807181327;"+";NA;"+";NA;NA;"+";"+";NA;NA;NA;NA;NA;11;-1274.397253613;2571.20508265369;6.21640383009844;0.00315455794978858
-0.0150619212311107;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-1281.59083611541;2571.24321069236;6.25453186877212;0.00309498901184497
-0.268729800266967;"+";-0.242405586983495;0.300578768014845;"+";"+";NA;"+";-0.188542669583676;"+";"+";NA;NA;NA;"+";NA;14;-1271.33800654354;2571.33226308708;6.34358426348899;0.00296020392184859
-0.245961423739712;"+";-0.212057535278303;0.124667607896812;"+";"+";"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;11;-1274.54227836643;2571.49513216054;6.50645333695365;0.00272869540607665
-0.244739357557789;"+";-0.223342788969157;0.1265023259543;"+";NA;"+";"+";NA;NA;"+";NA;NA;NA;NA;NA;11;-1274.54953300076;2571.5096414292;6.52096260561029;0.00270897135062298
-0.196754666777035;"+";NA;0.128999885693514;"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-1277.64857440476;2571.52005902623;6.53138020264396;0.00269489755028523
-0.27877836477767;"+";-0.205070811895185;0.0856503583831693;"+";NA;"+";"+";-0.156577747044725;"+";"+";NA;NA;"+";"+";NA;15;-1270.38878847935;2571.52875066761;6.54007184402735;0.00268321142005465
-0.272303239319841;"+";-0.251364953499888;0.136655028589943;"+";"+";"+";"+";-0.159031922939693;"+";"+";NA;NA;NA;"+";NA;15;-1270.43539769271;2571.62196909433;6.63329027074587;0.00256101881735871
-0.211502578214448;"+";-0.21168922295709;0.12921914141799;"+";"+";"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;11;-1274.608986508;2571.62854844369;6.63986962009812;0.0025526077410479
-0.202860357836365;"+";-0.261691814352573;0.112905280567763;"+";"+";"+";NA;-0.0602768695481034;"+";"+";"+";NA;NA;"+";NA;15;-1270.45004935242;2571.65127241376;6.66259359017113;0.00252376919191325
-0.254047882698495;"+";-0.18357261828417;NA;"+";NA;NA;"+";NA;"+";NA;NA;NA;NA;NA;NA;9;-1276.97787211885;2572.23481400514;7.24613518155684;0.00188510344889681
-0.0331605374450791;NA;-0.176968624013896;0.291917829513337;"+";NA;NA;NA;0.0776661344494029;"+";"+";NA;NA;NA;NA;NA;10;-1275.98199400847;2572.30560292376;7.3169241001774;0.00181954822114646
-0.2268301724305;"+";-0.174914208126834;0.258567616992093;"+";NA;NA;"+";0.0699610469409115;"+";NA;NA;NA;NA;NA;NA;11;-1274.95559063883;2572.32175670533;7.3330778817467;0.00180491111959446
-0.204214362260033;"+";-0.173828362883819;NA;"+";"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;9;-1277.11696742456;2572.51300461656;7.52432579297329;0.00164031351908181
-0.231595654634899;"+";-0.17258009018467;0.103585942513517;"+";NA;"+";"+";0.0952319450108565;"+";NA;NA;NA;NA;NA;NA;12;-1274.01416989614;2572.5143211007;7.525642277109;0.00163923415100079
-0.181488794091648;"+";-0.175216140270861;0.277686026668484;"+";NA;NA;NA;0.069152502778622;"+";"+";NA;NA;NA;NA;NA;11;-1275.06205580652;2572.53468704072;7.54600821712802;0.00162262657951079
-0.182636176879441;"+";-0.169546818863452;0.261420482768062;"+";"+";NA;NA;0.0675373633128325;"+";NA;NA;NA;NA;NA;NA;11;-1275.06886348381;2572.5483023953;7.55962357171666;0.00161161777609521
-0.25579773590001;"+";-0.217919440316891;NA;"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;9;-1277.13772876971;2572.55452730686;7.5658484832702;0.00160660948512324
-0.238028189814933;"+";-0.155147113639161;0.265914779172795;"+";"+";NA;"+";NA;"+";NA;NA;NA;NA;NA;NA;11;-1275.10328380205;2572.61714303179;7.62846420820324;0.00155708920817753
-0.235373306595037;"+";-0.17425935816297;0.280782331958177;"+";NA;NA;"+";NA;"+";"+";NA;NA;NA;NA;NA;11;-1275.11636139583;2572.64329821934;7.65461939575016;0.00153685879890318
-0.250392069553866;"+";-0.223673224532458;0.0270752654903316;"+";NA;"+";"+";NA;NA;"+";NA;NA;"+";NA;NA;12;-1274.0854480291;2572.65687736662;7.66819854302867;0.00152645952617792
