(Intercept);pop;scale(log(fgm1), scale = F);scale(rel_cohort_quality, scale = F);sexe;pop:scale(log(fgm1), scale = F);pop:scale(rel_cohort_quality, scale = F);pop:sexe;scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F);scale(log(fgm1), scale = F):sexe;scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F);pop:scale(log(fgm1), scale = F):sexe;pop:scale(rel_cohort_quality, scale = F):sexe;scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F):sexe;df;logLik;AICc;delta;weight
-0.0654183264683576;+;0.0649413607397917;0.261907845721993;+;NA;NA;NA;0.513917746291095;NA;NA;NA;NA;NA;NA;NA;9;-652.509998566529;1323.55731056589;6.66294979127406;0.00450018939442991
0.05695761019984;NA;-0.0569022951151806;0.499259700964333;+;NA;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;8;-653.628874712838;1323.68632085425;6.7919600796281;0.0042190683746067
0.037187954995565;NA;0.258929577409642;0.557517371875121;+;NA;NA;NA;NA;+;+;NA;NA;NA;NA;NA;9;-652.661908085656;1323.86112960415;6.96676882952966;0.00386595973051468
0.0740745142223194;+;NA;0.489874374091534;+;NA;+;+;NA;NA;+;NA;NA;NA;NA;NA;10;-651.618397103552;1323.89547684183;7.00111606721498;0.0038001340619526
0.0689647126877675;+;0.217390247867323;0.369798477357283;+;NA;NA;+;NA;+;NA;NA;NA;NA;NA;NA;10;-651.623395544199;1323.90547372313;7.0111129485083;0.00378118671044954
-0.0933666425739475;+;0.21760436614297;0.390289500559694;+;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;9;-652.712417591949;1323.96214861673;7.06778784211565;0.00367554146093571
-0.0716325084407523;+;0.123451991212565;NA;+;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;8;-653.774544709204;1323.97766084698;7.08330007236009;0.00364714380832006
0.127905054755786;+;-0.0831596097058483;NA;+;+;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;9;-652.756378829763;1324.05007109236;7.15571031774357;0.00351746028870632
-0.103433845493515;+;NA;0.555435245204217;+;NA;+;NA;NA;NA;+;NA;NA;NA;NA;NA;9;-652.775735015585;1324.08878346401;7.19442268938633;0.00345003037200963
0.0977036471135261;+;0.359922004292504;NA;+;+;NA;+;NA;+;NA;NA;+;NA;NA;NA;11;-650.73619165846;1324.26517610971;7.37081533509468;0.00315878263609288
